DAY_DATE,SKU,QUANTITY_SOLD
2020-10-05,CollectionA ModelA ColorB,148
2020-10-05,CollectionA ModelB ColorC,125
2020-10-05,CollectionA ModelC ColorA,123
2020-10-05,CollectionB ModelD ColorC,48
2020-10-05,CollectionB ModelD ColorA,41
2020-10-05,CollectionA ModelE ColorA,39
2020-10-05,CollectionC ModelF ColorA,30
2020-10-05,CollectionA ModelG ColorA,29
2020-10-05,CollectionC ModelE ColorC,28
2020-10-05,CollectionA ModelH ColorA,27
2020-10-06,CollectionA ModelA ColorB,171
2020-10-06,CollectionA ModelB ColorC,131
2020-10-06,CollectionA ModelC ColorA,126
2020-10-06,CollectionB ModelD ColorC,50
2020-10-06,CollectionB ModelD ColorA,45
2020-10-06,CollectionA ModelE ColorA,41
2020-10-06,CollectionC ModelF ColorA,32
2020-10-06,CollectionA ModelH ColorA,29
2020-10-06,CollectionA ModelG ColorA,29
2020-10-06,CollectionC ModelE ColorC,28
2020-10-07,CollectionA ModelA ColorB,181
2020-10-07,CollectionA ModelC ColorA,152
2020-10-07,CollectionA ModelB ColorC,129
2020-10-07,CollectionB ModelD ColorA,49
2020-10-07,CollectionB ModelD ColorC,46
2020-10-07,CollectionA ModelE ColorA,43
2020-10-07,CollectionA ModelH ColorA,36
2020-10-07,CollectionC ModelF ColorA,34
2020-10-07,CollectionA ModelI ColorA,30
2020-10-07,CollectionA ModelG ColorA,27
2020-10-08,CollectionA ModelA ColorB,185
2020-10-08,CollectionA ModelC ColorA,140
2020-10-08,CollectionA ModelB ColorC,130
2020-10-08,CollectionB ModelD ColorA,51
2020-10-08,CollectionA ModelE ColorA,43
2020-10-08,CollectionB ModelD ColorC,40
2020-10-08,CollectionC ModelF ColorA,34
2020-10-08,CollectionA ModelH ColorA,34
2020-10-08,CollectionA ModelI ColorA,31
2020-10-08,CollectionA ModelJ ColorA,25
2020-10-09,CollectionA ModelA ColorB,194
2020-10-09,CollectionA ModelC ColorA,140
2020-10-09,CollectionA ModelB ColorC,137
2020-10-09,CollectionB ModelD ColorA,55
2020-10-09,CollectionA ModelE ColorA,39
2020-10-09,CollectionB ModelD ColorC,39
2020-10-09,CollectionA ModelH ColorA,38
2020-10-09,CollectionC ModelF ColorA,37
2020-10-09,CollectionB ModelK ColorD,31
2020-10-09,CollectionA ModelI ColorA,31
2020-10-10,CollectionA ModelA ColorB,228
2020-10-10,CollectionA ModelC ColorA,158
2020-10-10,CollectionA ModelB ColorC,149
2020-10-10,CollectionB ModelD ColorA,53
2020-10-10,CollectionA ModelH ColorA,42
2020-10-10,CollectionA ModelE ColorA,40
2020-10-10,CollectionA ModelI ColorA,38
2020-10-10,CollectionC ModelF ColorA,38
2020-10-10,CollectionB ModelD ColorC,35
2020-10-10,CollectionB ModelK ColorD,29
2020-10-11,CollectionA ModelA ColorB,278
2020-10-11,CollectionA ModelC ColorA,185
2020-10-11,CollectionA ModelB ColorC,180
2020-10-11,CollectionB ModelD ColorA,49
2020-10-11,CollectionA ModelE ColorA,47
2020-10-11,CollectionA ModelH ColorA,46
2020-10-11,CollectionC ModelF ColorA,42
